county,year,total,male,female,age_less_than_15,age_15_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_64,age_65_to_74,age_75_to_84,age_85_and_above,race_white,race_black,race_asian,race_other,hispanic_latino,not_hispanic_latino,total_housing_unit
"Clallam County, Washington",2015,73486,36025,37461,10374,7744,7251,6479,9059,12255,11729,5645,2950,67869,223,1862,N,4420,69066,35873
"Clark County, Washington",2015,459495,227728,231767,93497,58835,59288,62473,61697,58555,40824,16806,7520,411095,15705,28699,15104,41538,417957,174714
"Cowlitz County, Washington",2015,103468,50784,52684,19920,11588,12913,11569,13717,14920,11239,5219,2383,97699,1631,2375,2551,8930,94538,43567
"Franklin County, Washington",2015,88807,45823,42984,25249,13704,13406,12084,9003,8553,4030,2172,606,73611,2867,2340,12107,46529,42278,26691
"Grant County, Washington",2015,93259,47052,46207,23539,13896,12263,10706,10653,10335,6863,3571,1433,70031,1947,1272,21837,37701,55558,35635
"Grays Harbor County, Washington",2015,71122,36792,34330,11877,9164,7703,8142,9263,11063,8619,3238,2053,65435,1276,1557,597,7206,63916,35300
"Island County, Washington",2015,80593,40718,39875,12583,9004,10664,7672,9627,12293,11509,4630,2611,71002,3074,5552,1625,5900,74693,40854
"King County, Washington",2015,2117125,1057544,1059581,369233,249401,366728,313181,294889,259667,156173,71456,36397,1503554,174188,410799,98442,200748,1916377,893176
"Kitsap County, Washington",2015,260131,133123,127008,44297,37351,36154,28996,33623,36498,27549,11412,4251,232454,11938,20630,6805,19625,240506,109684
"Lewis County, Washington",2015,75882,37785,38097,13278,9311,9111,7855,9823,10942,9147,4424,1991,72541,1086,1280,1191,7599,68283,34150
"Pierce County, Washington",2015,843954,419917,424037,168086,115000,126461,108203,111525,104929,66051,32023,11676,672877,85390,79460,32007,88335,755619,336362
"Skagit County, Washington",2015,121846,60386,61460,22799,14451,14988,13609,14936,17401,14110,6999,2553,104803,1567,3407,12729,21785,100061,52216
"Snohomish County, Washington",2015,772501,388055,384446,146768,97544,110993,105266,113502,102854,58111,26460,11003,639180,32861,95426,26521,76481,696020,300466
"Spokane County, Washington",2015,490945,244045,246900,91123,67969,73400,56912,62518,63632,44631,21123,9637,454871,15255,18165,7418,26599,464346,208309
"Thurston County, Washington",2015,269536,132970,136566,48654,34210,37143,34438,35760,36835,25872,11195,5429,233381,13714,21782,4316,23122,246414,112535
"Whatcom County, Washington",2015,212284,104351,107933,34429,38867,28669,24893,24742,27032,20489,8891,4272,186225,4656,12503,8830,19487,192797,93263
"Yakima County, Washington",2015,248830,125172,123658,62480,36505,31815,29858,28470,27122,19303,9016,4261,208191,3116,3796,27481,120244,128586,86568
"Benton County, Washington",2016,193686,96102,97584,43189,25666,25765,24281,22990,24380,16428,8055,2932,166307,4363,7895,18300,41456,152230,73955
"Chelan County, Washington",2016,76338,38152,38186,15425,9389,8489,8621,9556,10775,7859,3945,2279,71671,2398,1442,3331,21113,55225,36736
"Clallam County, Washington",2016,74570,36554,38016,11350,7263,7453,7080,8066,12456,12340,6310,2252,68710,1167,1865,923,4550,70020,36074
"Clark County, Washington",2016,467018,230670,236348,94509,58412,60930,61261,63318,60042,42855,18107,7584,414178,15158,28326,16970,43510,423508,177841
"Cowlitz County, Washington",2016,105160,51052,54108,18303,13696,11787,12453,14126,14763,12110,6089,1833,100324,1395,2404,2106,9243,95917,43630
"Franklin County, Washington",2016,90160,46542,43618,26203,12963,13547,12088,9539,8614,4460,1932,814,57984,3105,2815,27739,47809,42351,27006
"Grant County, Washington",2016,93546,47037,46509,22605,14736,12288,10936,10313,10032,7755,3072,1809,63870,N,2137,29191,38359,55187,35981
"Grays Harbor County, Washington",2016,71628,37737,33891,12049,7411,8240,8714,8908,11875,8908,3534,1989,65436,2478,1642,815,7063,64565,35373
"Island County, Washington",2016,82636,42597,40039,12570,9609,11313,7659,9190,12707,12046,6006,1536,74165,3425,5681,1046,6099,76537,41042
"King County, Washington",2016,2149970,1075509,1074461,373464,250464,376944,316291,296929,262746,163659,72166,37307,1512162,176662,430185,110812,204948,1945022,910159
"Kitsap County, Washington",2016,264811,134237,130574,45559,35723,38325,29872,33946,36838,28168,12141,4239,231500,11920,21548,8720,20000,244811,110398
"Lewis County, Washington",2016,77066,38991,38075,12985,9763,8189,8752,9569,11281,9990,4352,2185,72095,778,1483,2419,7748,69318,34157
"Pierce County, Washington",2016,861312,427539,433773,170998,114098,130456,110665,112148,108023,69881,30898,14145,692142,86295,82924,31974,91177,770135,338550
"Skagit County, Washington",2016,123681,61569,62112,22633,15138,14076,14611,14763,18375,14449,6302,3334,106032,1911,3834,11961,22253,101428,52526
"Snohomish County, Washington",2016,787620,394394,393226,149355,94792,114272,108857,113475,105595,62164,27340,11770,638073,34927,101434,32504,78134,709486,303563
"Spokane County, Washington",2016,499072,248100,250972,92175,68377,72685,60118,62133,66721,45789,21649,9425,457589,16230,17643,10944,27420,471652,210559
"Thurston County, Washington",2016,275222,135063,140159,49129,31667,41208,34150,36322,37523,27861,12900,4462,241042,13451,22460,4095,23659,251563,113314
"Whatcom County, Washington",2016,216800,107399,109401,35823,38491,28300,24771,26128,27647,22105,8999,4536,186782,3944,12805,11793,20027,196773,94189
"Yakima County, Washington",2016,249636,124709,124927,62694,36069,32288,29325,28509,27119,19423,9925,4284,201395,5331,4451,32115,121816,127820,86728
"Benton County, Washington",2017,198171,99250,98921,30311.3,27149,12182,26889,25039,36937,11155,17199,8236,1520,2154,0,169681,4955,43406,0
"Chelan County, Washington",2017,76533,38422,38111,10209.8,11332,3929,8151,8347,14852,5784,8587,3702,N,N,N,65369,1249,21527,N
"Clallam County, Washington",2017,75474,36661,38813,7551.5,5979,4028,7589,7555,14323,6475,12896,7529,208,1494,127,68644,5602,4779,30
"Clark County, Washington",2017,474643,234913,239730,62569,63373,26915,62046,63508,95243,30190,44584,17055,6122,6387,0,425565,9486,45815,3264
"Cowlitz County, Washington",2017,106910,53032,53878,12284.4,14169,5831,13426,11784,21847,7945,11855,5186,1270,1967,452,100355,3539,9656,413
"Franklin County, Washington",2017,92125,47518,44607,15931.5,15560,7110,14293,12674,14152,4016,5651,2128,380,1336,97,67818,4133,49086,352
"Grant County, Washington",2017,95158,48157,47001,15624.5,15109,7141,12451,11137,15933,4721,8324,3955,217,508,0,64999,3068,39682,0
"Grays Harbor County, Washington",2017,72697,37455,35242,8600.3,8038,3260,8621,8619,13912,6606,9257,4124,368,1536,0,66627,4698,7273,117
"Island County, Washington",2017,83159,40965,42194,9415.1,7066,5963,11977,8217,14075,6608,12502,5896,395,1032,36,73169,2572,6534,296
"King County, Washington",2017,2188649,1097210,1091439,260659.5,233446,131904,390742,326747,431676,129617,171345,74859,27607,20226,3155,1521398,42325,212412,16765
"Kitsap County, Washington",2017,266414,135788,130626,31186,29983,20475,37401,30627,50903,19528,29997,11611,3156,4072,19,232266,8185,20712,2168
"Lewis County, Washington",2017,78200,38649,39551,9374.7,9375,3811,8435,10184,15498,5395,9672,4908,720,2462,0,74462,3064,7930,70
"Pierce County, Washington",2017,876764,436746,440018,117053.3,109965,59918,136674,113043,168929,53424,71626,32974,19067,12334,1456,706457,27549,95644,13224
"Skagit County, Washington",2017,125619,61819,63800,14997.9,15683,7079,15217,14474,24086,8485,15498,7225,1001,1409,0,106346,3991,23017,238
"Snohomish County, Washington",2017,801633,402089,399544,99200.6,99456,47838,117156,112758,167059,54048,64602,27583,9736,12739,369,652530,22777,81809,3286
"Spokane County, Washington",2017,506152,250678,255474,60990.1,65491,35548,73010,61881,97026,32918,48203,21819,6288,7315,768,468838,17464,29049,2835
"Thurston County, Washington",2017,280588,136115,144473,33330.2,33967,17254,39241,37549,53995,17534,30357,13063,4430,3956,0,246868,8862,25218,1596
"Whatcom County, Washington",2017,221404,109435,111969,23596.7,28436,22225,29207,26431,41311,12552,23339,10365,1406,1863,0,196741,9667,20820,530
"Yakima County, Washington",2017,250193,125219,124974,40806.2,40449,17221,33648,29034,42163,13290,19334,10187,1843,2108,61,199834,13546,123693,65
"Benton County, Washington",2018,201877,99991,101886,29658.1,29703,11504,27698,25101,36221,12008,18189,8203,1538,2173,0,174062,3267,44919,199
