year,area_title,occ_title,o_group,tot_emp,hourly_mean,annual_mean
2023,"Kennewick-Richland, WA",Protective Service,major,"2,580",36.18,"75,260"
2023,"Longview, WA",Protective Service,major,530,32.56,"67,730"
2023,"Mount Vernon-Anacortes, WA",Protective Service,major,960,34.83,"72,440"
2023,"Olympia-Tumwater, WA",Protective Service,major,"2,640",33.52,"69,720"
2023,"Seattle-Tacoma-Bellevue, WA",Protective Service,major,"38,190",34.01,"70,730"
2023,"Spokane-Spokane Valley, WA",Protective Service,major,"6,680",29.82,"62,030"
2023,"Walla Walla, WA",Protective Service,major,"1,000",30.86,"64,190"
2023,"Wenatchee, WA",Protective Service,major,790,32.40,"67,400"
2023,"Yakima, WA",Protective Service,major,"2,010",30.04,"62,470"
2023,"Bellingham, WA",Food Preparation and Serving Related,major,"9,440",20.75,"43,170"
2023,"Bremerton-Silverdale, WA",Food Preparation and Serving Related,major,"9,340",20.77,"43,210"
2023,"Kennewick-Richland, WA",Food Preparation and Serving Related,major,"11,080",20.37,"42,380"
2023,"Longview, WA",Food Preparation and Serving Related,major,"3,460",19.60,"40,770"
2023,"Mount Vernon-Anacortes, WA",Food Preparation and Serving Related,major,"4,730",21.02,"43,730"
2023,"Olympia-Tumwater, WA",Food Preparation and Serving Related,major,"9,670",20.44,"42,520"
2023,"Seattle-Tacoma-Bellevue, WA",Food Preparation and Serving Related,major,"167,750",22.83,"47,490"
2023,"Spokane-Spokane Valley, WA",Food Preparation and Serving Related,major,"22,480",19.55,"40,670"
2023,"Walla Walla, WA",Food Preparation and Serving Related,major,"2,530",19.37,"40,290"
2023,"Wenatchee, WA",Food Preparation and Serving Related,major,"5,290",20.26,"42,140"
2023,"Yakima, WA",Food Preparation and Serving Related,major,"7,940",19.38,"40,310"
2023,"Bellingham, WA",Building and Grounds Cleaning and Maintenance,major,"2,930",20.69,"43,030"
2023,"Bremerton-Silverdale, WA",Building and Grounds Cleaning and Maintenance,major,"2,660",21.84,"45,430"
2023,"Kennewick-Richland, WA",Building and Grounds Cleaning and Maintenance,major,"3,930",21.32,"44,350"
2023,"Longview, WA",Building and Grounds Cleaning and Maintenance,major,"1,240",20.86,"43,390"
2023,"Mount Vernon-Anacortes, WA",Building and Grounds Cleaning and Maintenance,major,"1,600",21.57,"44,870"
2023,"Olympia-Tumwater, WA",Building and Grounds Cleaning and Maintenance,major,"2,990",20.89,"43,440"
2023,"Seattle-Tacoma-Bellevue, WA",Building and Grounds Cleaning and Maintenance,major,"51,340",22.72,"47,270"
